id,match_type,month,city,position,bat_team,batsman,bowling_team,venue,score
7285,ODI,January,Perth,3,Pakistan,Younis Khan,Australia,Western Australia Cricket Association Ground,3
7286,ODI,January,Perth,4,Pakistan,Shoaib Malik,Australia,Western Australia Cricket Association Ground,36
7287,ODI,January,Perth,5,Pakistan,Umar Akmal,Australia,Western Australia Cricket Association Ground,76
7288,ODI,January,Perth,6,Pakistan,Fawad Alam,Australia,Western Australia Cricket Association Ground,65
7289,ODI,January,Perth,7,Pakistan,Shahid Afridi,Australia,Western Australia Cricket Association Ground,2
7290,ODI,January,Perth,8,Pakistan,Sarfraz Ahmed,Australia,Western Australia Cricket Association Ground,6
7291,ODI,January,Perth,9,Pakistan,Naved-ul-Hasan,Australia,Western Australia Cricket Association Ground,8
7292,ODI,January,Perth,10,Pakistan,Iftikhar Anjum,Australia,Western Australia Cricket Association Ground,16
7293,ODI,January,Perth,11,Pakistan,Mohammad Asif,Australia,Western Australia Cricket Association Ground,0
7294,ODI,January,Perth,1,Australia,SE Marsh,Pakistan,Western Australia Cricket Association Ground,26
7295,ODI,January,Perth,2,Australia,BJ Haddin,Pakistan,Western Australia Cricket Association Ground,7
7296,ODI,January,Perth,3,Australia,RT Ponting,Pakistan,Western Australia Cricket Association Ground,56
7297,ODI,January,Perth,4,Australia,CL White,Pakistan,Western Australia Cricket Association Ground,13
7298,ODI,January,Perth,5,Australia,AC Voges,Pakistan,Western Australia Cricket Association Ground,29
7299,ODI,January,Perth,6,Australia,MEK Hussey,Pakistan,Western Australia Cricket Association Ground,41
7300,ODI,January,Perth,7,Australia,JR Hopes,Pakistan,Western Australia Cricket Association Ground,6
7301,ODI,January,Perth,8,Australia,MG Johnson,Pakistan,Western Australia Cricket Association Ground,13
7302,ODI,January,Perth,9,Australia,NM Hauritz,Pakistan,Western Australia Cricket Association Ground,19
7303,ODI,January,Perth,10,Australia,RJ Harris,Pakistan,Western Australia Cricket Association Ground,3
7304,ODI,August,Brisbane,1,Pakistan,Marina Iqbal,Australia,Peter Burge Oval,6
7305,ODI,August,Brisbane,2,Pakistan,Javeria Khan,Australia,Peter Burge Oval,47
7306,ODI,August,Brisbane,3,Pakistan,Bismah Maroof,Australia,Peter Burge Oval,28
7307,ODI,August,Brisbane,4,Pakistan,Nida Dar,Australia,Peter Burge Oval,8
7308,ODI,August,Brisbane,5,Pakistan,Sana Mir,Australia,Peter Burge Oval,2
7309,ODI,August,Brisbane,6,Pakistan,Aliya Riaz,Australia,Peter Burge Oval,4
7310,ODI,August,Brisbane,7,Pakistan,Asmavia Iqbal,Australia,Peter Burge Oval,11
7311,ODI,August,Brisbane,8,Pakistan,Sidra Nawaz,Australia,Peter Burge Oval,10
7312,ODI,August,Brisbane,9,Pakistan,Qanita Jalil,Australia,Peter Burge Oval,3
7313,ODI,August,Brisbane,10,Pakistan,Sania Khan,Australia,Peter Burge Oval,2
7314,ODI,August,Brisbane,1,Australia,AJ Healy,Pakistan,Peter Burge Oval,1
7315,ODI,August,Brisbane,2,Australia,NE Bolton,Pakistan,Peter Burge Oval,8
7316,ODI,August,Brisbane,3,Australia,MM Lanning,Pakistan,Peter Burge Oval,0
7317,ODI,August,Brisbane,4,Australia,JE Cameron,Pakistan,Peter Burge Oval,29
7318,ODI,August,Brisbane,5,Australia,AJ Blackwell,Pakistan,Peter Burge Oval,41
7319,ODI,August,Brisbane,6,Australia,JL Jonassen,Pakistan,Peter Burge Oval,35
7320,ODI,August,Brisbane,7,Australia,EA Osborne,Pakistan,Peter Burge Oval,10
7321,ODI,January,,1,Australia,UT Khawaja,Pakistan,Sydney Cricket Ground,31
7322,ODI,January,,2,Australia,DA Warner,Pakistan,Sydney Cricket Ground,132
7323,ODI,January,,3,Australia,SPD Smith,Pakistan,Sydney Cricket Ground,49
7324,ODI,January,,4,Australia,TM Head,Pakistan,Sydney Cricket Ground,51
7325,ODI,January,,5,Australia,GJ Maxwell,Pakistan,Sydney Cricket Ground,85
7326,ODI,January,,6,Australia,MS Wade,Pakistan,Sydney Cricket Ground,5
7327,ODI,January,,7,Australia,MA Starc,Pakistan,Sydney Cricket Ground,0
7328,ODI,January,,1,Pakistan,Azhar Ali,Australia,Sydney Cricket Ground,7
7329,ODI,January,,2,Pakistan,Sharjeel Khan,Australia,Sydney Cricket Ground,76
7330,ODI,January,,3,Pakistan,Babar Azam,Australia,Sydney Cricket Ground,31
7331,ODI,January,,4,Pakistan,Mohammad Hafeez,Australia,Sydney Cricket Ground,40
7332,ODI,January,,5,Pakistan,Shoaib Malik,Australia,Sydney Cricket Ground,49
7333,ODI,January,,6,Pakistan,Umar Akmal,Australia,Sydney Cricket Ground,15
7334,ODI,January,,7,Pakistan,Mohammad Rizwan,Australia,Sydney Cricket Ground,10
7335,ODI,January,,8,Pakistan,Imad Wasim,Australia,Sydney Cricket Ground,26
7336,ODI,January,,9,Pakistan,Mohammad Amir,Australia,Sydney Cricket Ground,5
7337,ODI,January,,10,Pakistan,Hasan Ali,Australia,Sydney Cricket Ground,8
7338,ODI,January,,11,Pakistan,Junaid Khan,Australia,Sydney Cricket Ground,0
